userID,FirstName,MiddleName,LastName,FullResidentialAddress,City,Province,PostalCode,LastDonationDate,LastDonationReceiptableAmount
M0053,Alex053,,Taylor053,153 Legacy Avenue,Esquimalt,BC,V8V3B9,2025-06-15,65.00
M0054,Alex054,,Taylor054,154 Legacy Avenue,Saanich,BC,V8V4C2,2025-07-15,75.00
M0055,Alex055,,Taylor055,155 Legacy Avenue,Langford,BC,V8V5D5,2025-08-15,85.00
M0056,Alex056,,Taylor056,156 Legacy Avenue,Victoria,BC,V8V6E8,2025-09-15,25.00
M0057,Alex057,,Taylor057,157 Legacy Avenue,Esquimalt,BC,V8V7F1,2025-10-15,35.00
M0058,Alex058,,Taylor058,158 Legacy Avenue,Saanich,BC,V8V8G4,2025-11-15,45.00
M0059,Alex059,,Taylor059,159 Legacy Avenue,Langford,BC,V8V9H7,2025-12-15,55.00
M0060,Alex060,,Taylor060,160 Legacy Avenue,Victoria,BC,V8V0I0,2025-01-15,65.00
M0061,Alex061,,Taylor061,161 Legacy Avenue,Esquimalt,BC,V8V1J3,2025-02-15,75.00
M0062,Alex062,,Taylor062,162 Legacy Avenue,Saanich,BC,V8V2K6,2025-03-15,85.00
M0063,Alex063,,Taylor063,163 Legacy Avenue,Langford,BC,V8V3L9,2025-04-15,25.00
M0064,Alex064,,Taylor064,164 Legacy Avenue,Victoria,BC,V8V4M2,2025-05-15,35.00
M0065,Alex065,,Taylor065,165 Legacy Avenue,Esquimalt,BC,V8V5N5,2025-06-15,45.00
M0066,Alex066,,Taylor066,166 Legacy Avenue,Saanich,BC,V8V6O8,2025-07-15,55.00
M0067,Alex067,,Taylor067,167 Legacy Avenue,Langford,BC,V8V7P1,2025-08-15,65.00
M0068,Alex068,,Taylor068,168 Legacy Avenue,Victoria,BC,V8V8Q4,2025-09-15,75.00
M0069,Alex069,,Taylor069,169 Legacy Avenue,Esquimalt,BC,V8V9R7,2025-10-15,85.00
M0070,Alex070,,Taylor070,170 Legacy Avenue,Saanich,BC,V8V0S0,2025-11-15,25.00
M0071,Alex071,,Taylor071,171 Legacy Avenue,Langford,BC,V8V1T3,2025-12-15,35.00
M0072,Alex072,,Taylor072,172 Legacy Avenue,Victoria,BC,V8V2U6,2025-01-15,45.00
M0073,Alex073,,Taylor073,173 Legacy Avenue,Esquimalt,BC,V8V3V9,2025-02-15,55.00
M0074,Alex074,,Taylor074,174 Legacy Avenue,Saanich,BC,V8V4W2,2025-03-15,65.00
M0075,Alex075,,Taylor075,175 Legacy Avenue,Langford,BC,V8V5X5,2025-04-15,75.00
M0076,Alex076,,Taylor076,176 Legacy Avenue,Victoria,BC,V8V6Y8,2025-05-15,85.00
M0077,Alex077,,Taylor077,177 Legacy Avenue,Esquimalt,BC,V8V7Z1,2025-06-15,25.00
M0078,Alex078,,Taylor078,178 Legacy Avenue,Saanich,BC,V8V8A4,2025-07-15,35.00
M0079,Alex079,,Taylor079,179 Legacy Avenue,Langford,BC,V8V9B7,2025-08-15,45.00
M0080,Alex080,,Taylor080,180 Legacy Avenue,Victoria,BC,V8V0C0,2025-09-15,55.00
M0081,Alex081,,Taylor081,181 Legacy Avenue,Esquimalt,BC,V8V1D3,2025-10-15,65.00
M0082,Alex082,,Taylor082,182 Legacy Avenue,Saanich,BC,V8V2E6,2025-11-15,75.00
M0083,Alex083,,Taylor083,183 Legacy Avenue,Langford,BC,V8V3F9,2025-12-15,85.00
M0084,Alex084,,Taylor084,184 Legacy Avenue,Victoria,BC,V8V4G2,2025-01-15,25.00
M0085,Alex085,,Taylor085,185 Legacy Avenue,Esquimalt,BC,V8V5H5,2025-02-15,35.00
M0086,Alex086,,Taylor086,186 Legacy Avenue,Saanich,BC,V8V6I8,2025-03-15,45.00
M0087,Alex087,,Taylor087,187 Legacy Avenue,Langford,BC,V8V7J1,2025-04-15,55.00
M0088,Alex088,,Taylor088,188 Legacy Avenue,Victoria,BC,V8V8K4,2025-05-15,65.00
M0089,Alex089,,Taylor089,189 Legacy Avenue,Esquimalt,BC,V8V9L7,2025-06-15,75.00
M0090,Alex090,,Taylor090,190 Legacy Avenue,Saanich,BC,V8V0M0,2025-07-15,85.00
M0091,Alex091,,Taylor091,191 Legacy Avenue,Langford,BC,V8V1N3,2025-08-15,25.00
M0092,Alex092,,Taylor092,192 Legacy Avenue,Victoria,BC,V8V2O6,2025-09-15,35.00
M0093,Alex093,,Taylor093,193 Legacy Avenue,Esquimalt,BC,V8V3P9,2025-10-15,45.00
M0094,Alex094,,Taylor094,194 Legacy Avenue,Saanich,BC,V8V4Q2,2025-11-15,55.00
M0095,Alex095,,Taylor095,195 Legacy Avenue,Langford,BC,V8V5R5,2025-12-15,65.00
M0096,Alex096,,Taylor096,196 Legacy Avenue,Victoria,BC,V8V6S8,2025-01-15,75.00
M0097,Alex097,,Taylor097,197 Legacy Avenue,Esquimalt,BC,V8V7T1,2025-02-15,85.00
M0098,Alex098,,Taylor098,198 Legacy Avenue,Saanich,BC,V8V8U4,2025-03-15,25.00
M0099,Alex099,,Taylor099,199 Legacy Avenue,Langford,BC,V8V9V7,2025-04-15,35.00
M0100,Alex100,,Taylor100,200 Legacy Avenue,Victoria,BC,V8V0W0,2025-05-15,45.00
M0101,Alex101,,Taylor101,201 Legacy Avenue,Esquimalt,BC,V8V1X3,2025-06-15,55.00
M0102,Alex102,,Taylor102,202 Legacy Avenue,Saanich,BC,V8V2Y6,2025-07-15,65.00
M0103,Alex103,,Taylor103,203 Legacy Avenue,Langford,BC,V8V3Z9,2025-08-15,75.00
M0104,Alex104,,Taylor104,204 Legacy Avenue,Victoria,BC,V8V4A2,2025-09-15,85.00
M0105,Alex105,,Taylor105,205 Legacy Avenue,Esquimalt,BC,V8V5B5,2025-10-15,25.00
M0106,Alex106,,Taylor106,206 Legacy Avenue,Saanich,BC,V8V6C8,2025-11-15,35.00
M0107,Alex107,,Taylor107,207 Legacy Avenue,Langford,BC,V8V7D1,2025-12-15,45.00
M0108,Alex108,,Taylor108,208 Legacy Avenue,Victoria,BC,V8V8E4,2025-01-15,55.00
M0109,Alex109,,Taylor109,209 Legacy Avenue,Esquimalt,BC,V8V9F7,2025-02-15,65.00
M0110,Alex110,,Taylor110,210 Legacy Avenue,Saanich,BC,V8V0G0,2025-03-15,75.00
M0111,Alex111,,Taylor111,211 Legacy Avenue,Langford,BC,V8V1H3,2025-04-15,85.00
M0112,Alex112,,Taylor112,212 Legacy Avenue,Victoria,BC,V8V2I6,2025-05-15,25.00
M0113,Alex113,,Taylor113,213 Legacy Avenue,Esquimalt,BC,V8V3J9,2025-06-15,35.00
M0114,Alex114,,Taylor114,214 Legacy Avenue,Saanich,BC,V8V4K2,2025-07-15,45.00
M0115,Alex115,,Taylor115,215 Legacy Avenue,Langford,BC,V8V5L5,2025-08-15,55.00
M0116,Alex116,,Taylor116,216 Legacy Avenue,Victoria,BC,V8V6M8,2025-09-15,65.00
M0117,Alex117,,Taylor117,217 Legacy Avenue,Esquimalt,BC,V8V7N1,2025-10-15,75.00
M0118,Alex118,,Taylor118,218 Legacy Avenue,Saanich,BC,V8V8O4,2025-11-15,85.00
M0119,Alex119,,Taylor119,219 Legacy Avenue,Langford,BC,V8V9P7,2025-12-15,25.00
M0120,Alex120,,Taylor120,220 Legacy Avenue,Victoria,BC,V8V0Q0,2025-01-15,35.00
M0121,Alex121,,Taylor121,221 Legacy Avenue,Esquimalt,BC,V8V1R3,2025-02-15,45.00
M0122,Alex122,,Taylor122,222 Legacy Avenue,Saanich,BC,V8V2S6,2025-03-15,55.00
M0123,Alex123,,Taylor123,223 Legacy Avenue,Langford,BC,V8V3T9,2025-04-15,65.00
M0124,Alex124,,Taylor124,224 Legacy Avenue,Victoria,BC,V8V4U2,2025-05-15,75.00
M0125,Alex125,,Taylor125,225 Legacy Avenue,Esquimalt,BC,V8V5V5,2025-06-15,85.00
M0126,Alex126,,Taylor126,226 Legacy Avenue,Saanich,BC,V8V6W8,2025-07-15,25.00
M0127,Alex127,,Taylor127,227 Legacy Avenue,Langford,BC,V8V7X1,2025-08-15,35.00
M0128,Alex128,,Taylor128,228 Legacy Avenue,Victoria,BC,V8V8Y4,2025-09-15,45.00
M0129,Alex129,,Taylor129,229 Legacy Avenue,Esquimalt,BC,V8V9Z7,2025-10-15,55.00
M0130,Alex130,,Taylor130,230 Legacy Avenue,Saanich,BC,V8V0A0,2025-11-15,65.00
M0131,Alex131,,Taylor131,231 Legacy Avenue,Langford,BC,V8V1B3,2025-12-15,75.00
M0132,Alex132,,Taylor132,232 Legacy Avenue,Victoria,BC,V8V2C6,2025-01-15,85.00
M0133,Alex133,,Taylor133,233 Legacy Avenue,Esquimalt,BC,V8V3D9,2025-02-15,25.00
M0134,Alex134,,Taylor134,234 Legacy Avenue,Saanich,BC,V8V4E2,2025-03-15,35.00
M0135,Alex135,,Taylor135,235 Legacy Avenue,Langford,BC,V8V5F5,2025-04-15,45.00
M0136,Alex136,,Taylor136,236 Legacy Avenue,Victoria,BC,V8V6G8,2025-05-15,55.00
M0137,Alex137,,Taylor137,237 Legacy Avenue,Esquimalt,BC,V8V7H1,2025-06-15,65.00
M0138,Alex138,,Taylor138,238 Legacy Avenue,Saanich,BC,V8V8I4,2025-07-15,75.00
M0139,Alex139,,Taylor139,239 Legacy Avenue,Langford,BC,V8V9J7,2025-08-15,85.00
M0140,Alex140,,Taylor140,240 Legacy Avenue,Victoria,BC,V8V0K0,2025-09-15,25.00
M0141,Alex141,,Taylor141,241 Legacy Avenue,Esquimalt,BC,V8V1L3,2025-10-15,35.00
M0142,Alex142,,Taylor142,242 Legacy Avenue,Saanich,BC,V8V2M6,2025-11-15,45.00
M0143,Alex143,,Taylor143,243 Legacy Avenue,Langford,BC,V8V3N9,2025-12-15,55.00
M0144,Alex144,,Taylor144,244 Legacy Avenue,Victoria,BC,V8V4O2,2025-01-15,65.00
M0145,Alex145,,Taylor145,245 Legacy Avenue,Esquimalt,BC,V8V5P5,2025-02-15,75.00
M0146,Alex146,,Taylor146,246 Legacy Avenue,Saanich,BC,V8V6Q8,2025-03-15,85.00
M0147,Alex147,,Taylor147,247 Legacy Avenue,Langford,BC,V8V7R1,2025-04-15,25.00
M0148,Alex148,,Taylor148,248 Legacy Avenue,Victoria,BC,V8V8S4,2025-05-15,35.00
M0149,Alex149,,Taylor149,249 Legacy Avenue,Esquimalt,BC,V8V9T7,2025-06-15,45.00
M0150,Alex150,,Taylor150,250 Legacy Avenue,Saanich,BC,V8V0U0,2025-07-15,55.00
M0151,Alex151,,Taylor151,251 Legacy Avenue,Langford,BC,V8V1V3,2025-08-15,65.00
M0152,Alex152,,Taylor152,252 Legacy Avenue,Victoria,BC,V8V2W6,2025-09-15,75.00
M0153,Alex153,,Taylor153,253 Legacy Avenue,Esquimalt,BC,V8V3X9,2025-10-15,85.00
M0154,Alex154,,Taylor154,254 Legacy Avenue,Saanich,BC,V8V4Y2,2025-11-15,25.00
M0155,Alex155,,Taylor155,255 Legacy Avenue,Langford,BC,V8V5Z5,2025-12-15,35.00
M0156,Alex156,,Taylor156,256 Legacy Avenue,Victoria,BC,V8V6A8,2025-01-15,45.00
M0157,Alex157,,Taylor157,257 Legacy Avenue,Esquimalt,BC,V8V7B1,2025-02-15,55.00
M0158,Alex158,,Taylor158,258 Legacy Avenue,Saanich,BC,V8V8C4,2025-03-15,65.00
M0159,Alex159,,Taylor159,259 Legacy Avenue,Langford,BC,V8V9D7,2025-04-15,75.00
M0160,Alex160,,Taylor160,260 Legacy Avenue,Victoria,BC,V8V0E0,2025-05-15,85.00
M0161,Alex161,,Taylor161,261 Legacy Avenue,Esquimalt,BC,V8V1F3,2025-06-15,25.00
M0162,Alex162,,Taylor162,262 Legacy Avenue,Saanich,BC,V8V2G6,2025-07-15,35.00
M0163,Alex163,,Taylor163,263 Legacy Avenue,Langford,BC,V8V3H9,2025-08-15,45.00
M0164,Alex164,,Taylor164,264 Legacy Avenue,Victoria,BC,V8V4I2,2025-09-15,55.00
M0165,Alex165,,Taylor165,265 Legacy Avenue,Esquimalt,BC,V8V5J5,2025-10-15,65.00
M0166,Alex166,,Taylor166,266 Legacy Avenue,Saanich,BC,V8V6K8,2025-11-15,75.00
M0167,Alex167,,Taylor167,267 Legacy Avenue,Langford,BC,V8V7L1,2025-12-15,85.00
M0168,Alex168,,Taylor168,268 Legacy Avenue,Victoria,BC,V8V8M4,2025-01-15,25.00
M0169,Alex169,,Taylor169,269 Legacy Avenue,Esquimalt,BC,V8V9N7,2025-02-15,35.00
M0170,Alex170,,Taylor170,270 Legacy Avenue,Saanich,BC,V8V0O0,2025-03-15,45.00
M0171,Alex171,,Taylor171,271 Legacy Avenue,Langford,BC,V8V1P3,2025-04-15,55.00
M0172,Alex172,,Taylor172,272 Legacy Avenue,Victoria,BC,V8V2Q6,2025-05-15,65.00
M0173,Alex173,,Taylor173,273 Legacy Avenue,Esquimalt,BC,V8V3R9,2025-06-15,75.00
M0174,Alex174,,Taylor174,274 Legacy Avenue,Saanich,BC,V8V4S2,2025-07-15,85.00
M0175,Alex175,,Taylor175,275 Legacy Avenue,Langford,BC,V8V5T5,2025-08-15,25.00
M0176,Alex176,,Taylor176,276 Legacy Avenue,Victoria,BC,V8V6U8,2025-09-15,35.00
M0177,Alex177,,Taylor177,277 Legacy Avenue,Esquimalt,BC,V8V7V1,2025-10-15,45.00
M0178,Alex178,,Taylor178,278 Legacy Avenue,Saanich,BC,V8V8W4,2025-11-15,55.00
M0179,Alex179,,Taylor179,279 Legacy Avenue,Langford,BC,V8V9X7,2025-12-15,65.00
M0180,Alex180,,Taylor180,280 Legacy Avenue,Victoria,BC,V8V0Y0,2025-01-15,75.00
M0181,Alex181,,Taylor181,281 Legacy Avenue,Esquimalt,BC,V8V1Z3,2025-02-15,85.00
M0182,Alex182,,Taylor182,282 Legacy Avenue,Saanich,BC,V8V2A6,2025-03-15,25.00
M0183,Alex183,,Taylor183,283 Legacy Avenue,Langford,BC,V8V3B9,2025-04-15,35.00
M0184,Alex184,,Taylor184,284 Legacy Avenue,Victoria,BC,V8V4C2,2025-05-15,45.00
M0185,Alex185,,Taylor185,285 Legacy Avenue,Esquimalt,BC,V8V5D5,2025-06-15,55.00
M0186,Alex186,,Taylor186,286 Legacy Avenue,Saanich,BC,V8V6E8,2025-07-15,65.00
M0187,Alex187,,Taylor187,287 Legacy Avenue,Langford,BC,V8V7F1,2025-08-15,75.00
M0188,Alex188,,Taylor188,288 Legacy Avenue,Victoria,BC,V8V8G4,2025-09-15,85.00
M0189,Alex189,,Taylor189,289 Legacy Avenue,Esquimalt,BC,V8V9H7,2025-10-15,25.00
M0190,Alex190,,Taylor190,290 Legacy Avenue,Saanich,BC,V8V0I0,2025-11-15,35.00
M0191,Alex191,,Taylor191,291 Legacy Avenue,Langford,BC,V8V1J3,2025-12-15,45.00
M0192,Alex192,,Taylor192,292 Legacy Avenue,Victoria,BC,V8V2K6,2025-01-15,55.00
M0193,Alex193,,Taylor193,293 Legacy Avenue,Esquimalt,BC,V8V3L9,2025-02-15,65.00
M0194,Alex194,,Taylor194,294 Legacy Avenue,Saanich,BC,V8V4M2,2025-03-15,75.00
M0195,Alex195,,Taylor195,295 Legacy Avenue,Langford,BC,V8V5N5,2025-04-15,85.00
M0196,Alex196,,Taylor196,296 Legacy Avenue,Victoria,BC,V8V6O8,2025-05-15,25.00
M0197,Alex197,,Taylor197,297 Legacy Avenue,Esquimalt,BC,V8V7P1,2025-06-15,35.00
M0198,Alex198,,Taylor198,298 Legacy Avenue,Saanich,BC,V8V8Q4,2025-07-15,45.00
M0199,Alex199,,Taylor199,299 Legacy Avenue,Langford,BC,V8V9R7,2025-08-15,55.00
M0200,Alex200,,Taylor200,300 Legacy Avenue,Victoria,BC,V8V0S0,2025-09-15,65.00
M0201,Alex201,,Taylor201,301 Legacy Avenue,Esquimalt,BC,V8V1T3,2025-10-15,75.00
M0202,Alex202,,Taylor202,302 Legacy Avenue,Saanich,BC,V8V2U6,2025-11-15,85.00
M0203,Alex203,,Taylor203,303 Legacy Avenue,Langford,BC,V8V3V9,2025-12-15,25.00
M0204,Alex204,,Taylor204,304 Legacy Avenue,Victoria,BC,V8V4W2,2025-01-15,35.00
M0205,Alex205,,Taylor205,305 Legacy Avenue,Esquimalt,BC,V8V5X5,2025-02-15,45.00
M0206,Alex206,,Taylor206,306 Legacy Avenue,Saanich,BC,V8V6Y8,2025-03-15,55.00
M0207,Alex207,,Taylor207,307 Legacy Avenue,Langford,BC,V8V7Z1,2025-04-15,65.00
M0208,Alex208,,Taylor208,308 Legacy Avenue,Victoria,BC,V8V8A4,2025-05-15,75.00
M0209,Alex209,,Taylor209,309 Legacy Avenue,Esquimalt,BC,V8V9B7,2025-06-15,85.00
M0210,Alex210,,Taylor210,310 Legacy Avenue,Saanich,BC,V8V0C0,2025-07-15,25.00
M0211,Alex211,,Taylor211,311 Legacy Avenue,Langford,BC,V8V1D3,2025-08-15,35.00
M0212,Alex212,,Taylor212,312 Legacy Avenue,Victoria,BC,V8V2E6,2025-09-15,45.00
M0213,Alex213,,Taylor213,313 Legacy Avenue,Esquimalt,BC,V8V3F9,2025-10-15,55.00
M0214,Alex214,,Taylor214,314 Legacy Avenue,Saanich,BC,V8V4G2,2025-11-15,65.00
M0215,Alex215,,Taylor215,315 Legacy Avenue,Langford,BC,V8V5H5,2025-12-15,75.00
M0216,Alex216,,Taylor216,316 Legacy Avenue,Victoria,BC,V8V6I8,2025-01-15,85.00
M0217,Alex217,,Taylor217,317 Legacy Avenue,Esquimalt,BC,V8V7J1,2025-02-15,25.00
M0218,Alex218,,Taylor218,318 Legacy Avenue,Saanich,BC,V8V8K4,2025-03-15,35.00
M0219,Alex219,,Taylor219,319 Legacy Avenue,Langford,BC,V8V9L7,2025-04-15,45.00
M0220,Alex220,,Taylor220,320 Legacy Avenue,Victoria,BC,V8V0M0,2025-05-15,55.00
M0221,Alex221,,Taylor221,321 Legacy Avenue,Esquimalt,BC,V8V1N3,2025-06-15,65.00
M0222,Alex222,,Taylor222,322 Legacy Avenue,Saanich,BC,V8V2O6,2025-07-15,75.00
M0223,Alex223,,Taylor223,323 Legacy Avenue,Langford,BC,V8V3P9,2025-08-15,85.00
M0224,Alex224,,Taylor224,324 Legacy Avenue,Victoria,BC,V8V4Q2,2025-09-15,25.00
M0225,Alex225,,Taylor225,325 Legacy Avenue,Esquimalt,BC,V8V5R5,2025-10-15,35.00
M0226,Alex226,,Taylor226,326 Legacy Avenue,Saanich,BC,V8V6S8,2025-11-15,45.00
M0227,Alex227,,Taylor227,327 Legacy Avenue,Langford,BC,V8V7T1,2025-12-15,55.00
M0228,Alex228,,Taylor228,328 Legacy Avenue,Victoria,BC,V8V8U4,2025-01-15,65.00
M0229,Alex229,,Taylor229,329 Legacy Avenue,Esquimalt,BC,V8V9V7,2025-02-15,75.00
M0230,Alex230,,Taylor230,330 Legacy Avenue,Saanich,BC,V8V0W0,2025-03-15,85.00
M0231,Alex231,,Taylor231,331 Legacy Avenue,Langford,BC,V8V1X3,2025-04-15,25.00
M0232,Alex232,,Taylor232,332 Legacy Avenue,Victoria,BC,V8V2Y6,2025-05-15,35.00
M0233,Alex233,,Taylor233,333 Legacy Avenue,Esquimalt,BC,V8V3Z9,2025-06-15,45.00
M0234,Alex234,,Taylor234,334 Legacy Avenue,Saanich,BC,V8V4A2,2025-07-15,55.00
M0235,Alex235,,Taylor235,335 Legacy Avenue,Langford,BC,V8V5B5,2025-08-15,65.00
M0236,Alex236,,Taylor236,336 Legacy Avenue,Victoria,BC,V8V6C8,2025-09-15,75.00
M0237,Alex237,,Taylor237,337 Legacy Avenue,Esquimalt,BC,V8V7D1,2025-10-15,85.00
M0238,Alex238,,Taylor238,338 Legacy Avenue,Saanich,BC,V8V8E4,2025-11-15,25.00
M0239,Alex239,,Taylor239,339 Legacy Avenue,Langford,BC,V8V9F7,2025-12-15,35.00
M0240,Alex240,,Taylor240,340 Legacy Avenue,Victoria,BC,V8V0G0,2025-01-15,45.00
M0241,Alex241,,Taylor241,341 Legacy Avenue,Esquimalt,BC,V8V1H3,2025-02-15,55.00
M0242,Alex242,,Taylor242,342 Legacy Avenue,Saanich,BC,V8V2I6,2025-03-15,65.00
M0243,Alex243,,Taylor243,343 Legacy Avenue,Langford,BC,V8V3J9,2025-04-15,75.00
M0244,Alex244,,Taylor244,344 Legacy Avenue,Victoria,BC,V8V4K2,2025-05-15,85.00
M0245,Alex245,,Taylor245,345 Legacy Avenue,Esquimalt,BC,V8V5L5,2025-06-15,25.00
M0246,Alex246,,Taylor246,346 Legacy Avenue,Saanich,BC,V8V6M8,2025-07-15,35.00
M0247,Alex247,,Taylor247,347 Legacy Avenue,Langford,BC,V8V7N1,2025-08-15,45.00
M0248,Alex248,,Taylor248,348 Legacy Avenue,Victoria,BC,V8V8O4,2025-09-15,55.00
M0249,Alex249,,Taylor249,349 Legacy Avenue,Esquimalt,BC,V8V9P7,2025-10-15,65.00
M0250,Alex250,,Taylor250,350 Legacy Avenue,Saanich,BC,V8V0Q0,2025-11-15,75.00
M0251,Alex251,,Taylor251,351 Legacy Avenue,Langford,BC,V8V1R3,2025-12-15,85.00
M0252,Alex252,,Taylor252,352 Legacy Avenue,Victoria,BC,V8V2S6,2025-01-15,25.00
M0253,Alex253,,Taylor253,353 Legacy Avenue,Esquimalt,BC,V8V3T9,2025-02-15,35.00
M0254,Alex254,,Taylor254,354 Legacy Avenue,Saanich,BC,V8V4U2,2025-03-15,45.00
M0255,Alex255,,Taylor255,355 Legacy Avenue,Langford,BC,V8V5V5,2025-04-15,55.00
M0256,Alex256,,Taylor256,356 Legacy Avenue,Victoria,BC,V8V6W8,2025-05-15,65.00
M0257,Alex257,,Taylor257,357 Legacy Avenue,Esquimalt,BC,V8V7X1,2025-06-15,75.00
M0258,Alex258,,Taylor258,358 Legacy Avenue,Saanich,BC,V8V8Y4,2025-07-15,85.00
M0259,Alex259,,Taylor259,359 Legacy Avenue,Langford,BC,V8V9Z7,2025-08-15,25.00
M0260,Alex260,,Taylor260,360 Legacy Avenue,Victoria,BC,V8V0A0,2025-09-15,35.00
